group,path,before_status,after_status,before_browser_ttfb_ms,after_browser_ttfb_ms,browser_ttfb_improvement_pct,before_fcp_ms,after_fcp_ms,fcp_improvement_pct,before_lcp_ms,after_lcp_ms,lcp_improvement_pct,before_cls,after_cls,cls_delta,before_tbt_approx_ms,after_tbt_approx_ms,tbt_approx_improvement_pct,before_transfer_bytes,after_transfer_bytes,transfer_improvement_pct,before_request_count,after_request_count,request_count_delta,before_http_median_ttfb_ms,after_http_median_ttfb_ms,http_median_ttfb_improvement_pct,before_http_median_total_ms,after_http_median_total_ms,http_median_total_improvement_pct,before_http_median_html_bytes,after_http_median_html_bytes,http_median_html_improvement_pct,before_effective_url,after_effective_url
sitemap,/download,200,200,201.5,207.1,-2.7792,3292,6180,-87.7278,6548,6360,2.8711,0.0001,0.0001,0,0,0,,3000989,2358907,21.3957,65,38,-27,571.1,573.5,-0.4202,760.6,759.1,0.1972,16893,10474,37.998,https://aoe2war.com/download,https://aoe2war.com/download
sitemap,/forum,200,200,230.1,215.7,6.2581,1476,1252,15.1762,1476,1292,12.4661,0.0054,0.0054,0,0,0,,814127,661956,18.6913,69,43,-26,600.7,584.5,2.6969,786.5999999999999,767.2,2.4663,20140,14615,27.433,https://aoe2war.com/forum,https://aoe2war.com/forum
sitemap,/game-stats,200,200,303,235.2,22.3762,2724,1068,60.793,5380,23224,-331.6729,0.0001,0.1923,0.1922,0,0,,3290972,3137220,4.6719,62,37,-25,619.1,586.7,5.2334,806,786,2.4814,33007,27368,17.0843,https://aoe2war.com/game-stats,https://aoe2war.com/game-stats
sitemap,/kingdom,200,200,196.7,211.6,-7.575,1628,1524,6.3882,1628,1524,6.3882,0.0001,0.0001,0,0,0,,894947,573133,35.959,64,37,-27,601.1,586.0999999999999,2.4954,788.8,764.9,3.0299,30005,24019,19.95,https://aoe2war.com/kingdom,https://aoe2war.com/kingdom
sitemap,/leaderboard,200,200,858,205.6,76.0373,2352,1428,39.2857,2352,1520,35.3741,0.0001,0.0023,0.0022,0,0,,829520,489658,40.9709,68,40,-28,1297.3,598,53.9043,1487,1501.2,-0.9549,30556,25245,17.3812,https://aoe2war.com/leaderboard,https://aoe2war.com/leaderboard
sitemap,/leaderboard/og,200,200,264.9,200.6,24.2733,1420,1340,5.6338,1420,1340,5.6338,0.0001,0.0001,0,0,0,,708343,414976,41.416,56,35,-21,654.6999999999999,597.0999999999999,8.7979,843.1999999999999,784.3,6.9853,23624,17893,24.2592,https://aoe2war.com/leaderboard/og,https://aoe2war.com/leaderboard/og
sitemap,/live-games,200,200,215.7,212.6,1.4372,1204,1200,0.3322,1204,1416,-17.608,0.0073,0,-0.0073,0,0,,1019106,916239,10.0938,59,50,-9,617.1,608.8,1.345,799.5,1109.1,-38.7242,30903,26863,13.0732,https://aoe2war.com/live-games,https://aoe2war.com/live-games
sitemap,/lobby,200,200,2265.4,2172.2,4.1141,3272,2808,14.1809,3272,4672,-42.7873,0.0267,0.0001,-0.0266,34,0,100,1221492,5306691,-334.4434,92,101,9,632.9,608.3,3.8869,951.8,959.9,-0.851,39258,46115,-17.4665,https://aoe2war.com/lobby,https://aoe2war.com/lobby
sitemap,/market,200,200,3025.9,1099.2,63.6736,4500,1936,56.9778,4500,2464,45.2444,0.0001,0.0001,0,0,0,,920394,599617,34.8521,63,36,-27,583.4,958,-64.2098,771.5999999999999,1145.6,-48.4707,27896,21301,23.6414,https://aoe2war.com/market,https://aoe2war.com/market
sitemap,/national-champions,200,200,190.8,187.3,1.8344,3724,4824,-29.5381,3724,4824,-29.5381,0.0001,0.0001,0,0,0,,12397865,7904640,36.2419,67,41,-26,580.4,573.8,1.1371,769.2,761.7,0.975,23354,17002,27.1988,https://aoe2war.com/national-champions,https://aoe2war.com/national-champions
